Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Bacillus thuringiensis	97-27	Patric (diseases), Patric (diseases)	281309.0	B. thuringiensis	GCA_000008505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1	GCF_000008505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/505/GCF_000008505.1_ASM850v1	281309	[Bacillus thuringiensis] serovar konkukian str. 97-27	strain=97-27	latest	Complete Genome	2004/12/27	4	5361	Pathogenic
Streptococcus dysgalactiae	GGS_124	Patric (diseases)	486410.0	S. dysgalactiae	GCA_000010705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/705/GCA_000010705.1_ASM1070v1	GCF_000010705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/705/GCF_000010705.1_ASM1070v1	486410	Streptococcus dysgalactiae subsp. equisimilis GGS_124	strain=GGS_124	latest	Complete Genome	2009/06/30	3	2102	Pathogenic
Staphylococcus epidermidis	RP62A	Patric (diseases), Patric (diseases)	176279.0	S. epidermidis	GCA_000011925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/925/GCA_000011925.1_ASM1192v1	GCF_000011925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/925/GCF_000011925.1_ASM1192v1	176279	Staphylococcus epidermidis RP62A	strain=RP62A	latest	Complete Genome	2005/01/13	1	2434	Pathogenic
Haemophilus influenzae	86-028NP	Patric (diseases)	281310.0	H. influenzae	GCA_000012185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/185/GCA_000012185.1_ASM1218v1	GCF_000012185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/185/GCF_000012185.1_ASM1218v1	281310	Haemophilus influenzae 86-028NP	strain=86-028NP	latest	Complete Genome	2007/08/30	2	1836	Pathogenic
Helicobacter pylori	HPAG1	Patric (diseases), Patric (diseases)	357544.0	H. pylori	GCA_000013245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1	GCF_000013245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1	357544	Helicobacter pylori HPAG1	strain=HPAG1	latest	Complete Genome	2006/06/06	3	1508	Pathogenic
Polaromonas sp. JS666	JS666	Patric (diseases), Patric (diseases)	296591.0	Polaromonas sp. JS666	GCA_000013865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/865/GCA_000013865.1_ASM1386v1	GCF_000013865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/865/GCF_000013865.1_ASM1386v1	296591	Polaromonas sp. JS666	strain=JS666	latest	Complete Genome	2006/04/10	3	5657	Pathogenic
Aliarcobacter butzleri	RM4018	Patric (diseases)	367737.0	A. butzleri	GCA_000014025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1	GCF_000014025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1	367737	Aliarcobacter butzleri RM4018	strain=RM4018	latest	Complete Genome	2007/09/27	4	2285	Pathogenic
Limosilactobacillus reuteri	DSM 20016	Patric (diseases)	557436.0	L. reuteri	GCA_000016825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1	GCF_000016825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/825/GCF_000016825.1_ASM1682v1	557436	Limosilactobacillus reuteri subsp. reuteri	strain=DSM 20016	latest	Complete Genome	2007/06/01	2	1983	Pathogenic
Yersinia pseudotuberculosis	IP 31758//IP31758	Patric (diseases), Patric (diseases), Patric (diseases)	349747.0	Y. pseudotuberculosis	GCA_000016945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1	GCF_000016945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/945/GCF_000016945.1_ASM1694v1	349747	Yersinia pseudotuberculosis IP 31758	strain=IP 31758	latest	Complete Genome	2007/07/23	3	4268	Pathogenic
Campylobacter hominis	ATCC BAA-381	Patric (diseases), Patric (diseases)	360107.0	C. hominis	GCA_000017585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/585/GCA_000017585.1_ASM1758v1	GCF_000017585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/585/GCF_000017585.1_ASM1758v1	360107	Campylobacter hominis ATCC BAA-381	strain=ATCC BAA-381	latest	Complete Genome	2007/07/25	2	1637	Pathogenic
Escherichia coli	HS	Patric (diseases)	331112.0	E. coli	GCA_000017765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1	GCF_000017765.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/765/GCF_000017765.1_ASM1776v1	331112	Escherichia coli HS	strain=HS	latest	Complete Genome	2007/09/10	5	4324	Pathogenic
Rickettsia akari str. Hartford	Hartford	ENA	293614.0	Rickettsia akari str. Hartford	GCA_000018205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/205/GCA_000018205.1_ASM1820v1	GCF_000018205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1	293614	Rickettsia akari str. Hartford	strain=Hartford	latest	Complete Genome	2007/10/02	4	1313	Pathogenic
Borrelia recurrentis	A1	Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases)	412418.0	B. recurrentis	GCA_000019705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/705/GCA_000019705.1_ASM1970v1	GCF_000019705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/705/GCF_000019705.1_ASM1970v1	412418	Borrelia recurrentis A1	strain=A1	latest	Complete Genome	2008/09/15	5	1214	Pathogenic
Coxiella burnetii	CbuK_Q154	Patric (diseases), Patric (diseases)	434924.0	C. burnetii	GCA_000019885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/885/GCA_000019885.1_ASM1988v1	GCF_000019885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/885/GCF_000019885.1_ASM1988v1	434924	Coxiella burnetii CbuK_Q154	strain=CbuK_Q154	latest	Complete Genome	2008/11/06	4	2136	Pathogenic
Burkholderia ambifaria	MC40-6	Patric (diseases), Patric (diseases)	398577.0	B. ambifaria	GCA_000019925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/925/GCA_000019925.1_ASM1992v1	GCF_000019925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/925/GCF_000019925.1_ASM1992v1	398577	Burkholderia ambifaria MC40-6	strain=MC40-6	latest	Complete Genome	2008/04/03	5	6753	Pathogenic
Bacillus cereus//Bacillus cereus//Bacillus cereus B4264	B4264	ENA, NCBI, Patric (diseases)	405532.0	Bacillus cereus//Bacillus cereus//Bacillus cereus B4264	GCA_000021205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/205/GCA_000021205.1_ASM2120v1	GCF_000021205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/205/GCF_000021205.1_ASM2120v1	405532	Bacillus cereus B4264	strain=B4264	latest	Complete Genome	2008/12/17	1	5349	Pathogenic
Bacillus cereus	AH820	Patric (diseases), Patric (diseases), Patric (diseases), Patric (diseases)	405535.0	B. cereus	GCA_000021785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/785/GCA_000021785.1_ASM2178v1	GCF_000021785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/785/GCF_000021785.1_ASM2178v1	405535	Bacillus cereus AH820	strain=AH820	latest	Complete Genome	2008/12/19	4	5677	Pathogenic
Capnocytophaga ochracea	DSM 7271	Patric (diseases)	521097.0	C. ochracea	GCA_000023285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1	GCF_000023285.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/285/GCF_000023285.1_ASM2328v1	521097	Capnocytophaga ochracea DSM 7271	strain=DSM 7271	latest	Complete Genome	2009/08/26	4	2185	Pathogenic
Eggerthella lenta	DSM 2243	Patric (diseases)	479437.0	E. lenta	GCA_000024265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/265/GCA_000024265.1_ASM2426v1	GCF_000024265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1	479437	Eggerthella lenta DSM 2243	strain=DSM 2243	latest	Complete Genome	2009/09/09	4	3116	Pathogenic
