Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Escherichia coli	MRSN952059	NCBI	562	E. coli	GCA_036035495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/035/495/GCA_036035495.1_ASM3603549v1	GCF_036035495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/035/495/GCF_036035495.1_ASM3603549v1	562	Escherichia coli	strain=MRSN952059	latest	Contig	2024-01-24	Pathogenic
Escherichia coli	NMI7539-23	NCBI	562	E. coli	GCA_041078205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/078/205/GCA_041078205.1_ASM4107820v1	GCF_041078205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/078/205/GCF_041078205.1_ASM4107820v1	562	Escherichia coli	strain=NMI7539-23	latest	Contig	2024-08-06	Pathogenic
Escherichia coli	CM23Y_61	NCBI	562	E. coli	GCA_036318265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/318/265/GCA_036318265.1_ASM3631826v1	GCF_036318265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/318/265/GCF_036318265.1_ASM3631826v1	562	Escherichia coli	strain=CM23Y_61	latest	Contig	2024-01-31	Pathogenic
Enterobacter hormaechei	CDS8801	NCBI	158836	E. hormaechei	GCA_039571565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/571/565/GCA_039571565.1_ASM3957156v1	GCF_039571565.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/571/565/GCF_039571565.1_ASM3957156v1	158836	Enterobacter hormaechei	strain=CDS8801	latest	Contig	2024-05-08	Pathogenic
Klebsiella pneumoniae	KP1949	NCBI, Patric (diseases)	573	K. pneumoniae	GCA_036329405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/329/405/GCA_036329405.1_ASM3632940v1	GCF_036329405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/329/405/GCF_036329405.1_ASM3632940v1	573	Klebsiella pneumoniae	strain=KP1949	latest	Scaffold	2024-02-01	Pathogenic
Enterobacter hormaechei	AR2600	NCBI	158836	E. hormaechei	GCA_041364295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/364/295/GCA_041364295.1_ASM4136429v1	GCF_041364295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/364/295/GCF_041364295.1_ASM4136429v1	158836	Enterobacter hormaechei	strain=AR2600	latest	Contig	2024-08-19	Pathogenic
Enterococcus faecium	M1241285	NCBI	1352	E. faecium	GCA_044706805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/706/805/GCA_044706805.1_ASM4470680v1	GCF_044706805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/706/805/GCF_044706805.1_ASM4470680v1	1352	Enterococcus faecium	strain=M1241285	latest	Contig	2024-11-08	Pathogenic
Pseudomonas aeruginosa	PA_28	NCBI	287	P. aeruginosa	GCA_036665435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/665/435/GCA_036665435.1_ASM3666543v1	GCF_036665435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/665/435/GCF_036665435.1_ASM3666543v1	287	Pseudomonas aeruginosa	strain=PA_28	latest	Scaffold	2024-02-16	Pathogenic
Pseudomonas aeruginosa	D1564	Patric (diseases)	287	P. aeruginosa	GCA_033796865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/796/865/GCA_033796865.1_ASM3379686v1	GCF_033796865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/796/865/GCF_033796865.1_ASM3379686v1	287	Pseudomonas aeruginosa	strain=D1564	latest	Scaffold	2023-11-17	Pathogenic
Klebsiella pneumoniae	FAHZZU1855	NCBI	548	K. pneumoniae	GCA_044384045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/384/045/GCA_044384045.1_ASM4438404v1	GCF_044384045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/384/045/GCF_044384045.1_ASM4438404v1	548	Klebsiella aerogenes	strain=FAHZZU1855	latest	Contig	2024-11-04	Pathogenic
Pseudomonas aeruginosa	S68	NCBI	287	P. aeruginosa	GCA_041931805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/931/805/GCA_041931805.1_assembly_C048075_S68	GCF_041931805.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/931/805/GCF_041931805.1_assembly_C048075_S68	287	Pseudomonas aeruginosa	strain=S68	latest	Chromosome	2024-09-17	Pathogenic
Acinetobacter baumannii	31190	NCBI	470	A. baumannii	GCA_038434005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/434/005/GCA_038434005.1_ASM3843400v1	GCF_038434005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/434/005/GCF_038434005.1_ASM3843400v1	470	Acinetobacter baumannii	strain=31190	latest	Contig	2024-04-23	Pathogenic
Pseudomonas paraeruginosa	A4314	Patric (diseases)	2994495	P. paraeruginosa	GCA_033797265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/797/265/GCA_033797265.1_ASM3379726v1	GCF_033797265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/797/265/GCF_033797265.1_ASM3379726v1	2994495	Pseudomonas paraeruginosa	strain=A4314	latest	Scaffold	2023-11-17	Pathogenic
