Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Bacillus thuringiensis	97-27	Patric (diseases), Patric (diseases)	, 	281309.0	B. thuringiensis	GCA_000008505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1	Pathogenic	GCF_000008505.1	PRJNA224116	SAMN02598265		na	281309	1428	[Bacillus thuringiensis] serovar konkukian str. 97-27	strain=97-27		latest	Complete Genome	Major	Full	2004/12/27	ASM850v1	DOE Joint Genome Institute	GCA_000008505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/505/GCF_000008505.1_ASM850v1			na	[Bacillus thuringiensis]	NC_005957.1	[Bacillus thuringiensis] serovar konkukian str. 97-27, complete sequence	GCF_000008505.1_ASM850v1_genomic.fna.gz 	GCF_000008505.1	366	4	GCF_000/GCF_000008505.1_ASM850v1_genomic.h5	5361
Streptococcus dysgalactiae	GGS_124	Patric (diseases)		486410.0	S. dysgalactiae	GCA_000010705.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/705/GCA_000010705.1_ASM1070v1	Pathogenic	GCF_000010705.1	PRJNA224116	SAMD00060937		na	486410	1334	Streptococcus dysgalactiae subsp. equisimilis GGS_124	strain=GGS_124		latest	Complete Genome	Major	Full	2009/06/30	ASM1070v1	Research Institute, International Medical Center of Japan	GCA_000010705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/705/GCF_000010705.1_ASM1070v1			na	Streptococcus dysgalactiae	NC_012891.1	Streptococcus dysgalactiae subsp. equisimilis GGS_124 chromosome 1, complete sequence	GCF_000010705.1_ASM1070v1_genomic.fna.gz 	GCF_000010705.1	1059	3	GCF_000/GCF_000010705.1_ASM1070v1_genomic.h5	2102
Staphylococcus epidermidis	RP62A	Patric (diseases), Patric (diseases)	, 	176279.0	S. epidermidis	GCA_000011925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/925/GCA_000011925.1_ASM1192v1	Pathogenic	GCF_000011925.1	PRJNA224116	SAMN02603975		na	176279	1282	Staphylococcus epidermidis RP62A	strain=RP62A		latest	Complete Genome	Major	Full	2005/01/13	ASM1192v1	TIGR	GCA_000011925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/925/GCF_000011925.1_ASM1192v1			na	Staphylococcus epidermidis	NC_002976.3	Staphylococcus epidermidis RP62A, complete sequence	GCF_000011925.1_ASM1192v1_genomic.fna.gz 	GCF_000011925.1	303	1	GCF_000/GCF_000011925.1_ASM1192v1_genomic.h5	2434
Haemophilus influenzae	86-028NP	Patric (diseases)		281310.0	H. influenzae	GCA_000012185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/185/GCA_000012185.1_ASM1218v1	Pathogenic	GCF_000012185.1	PRJNA224116	SAMN02603157		na	281310	727	Haemophilus influenzae 86-028NP	strain=86-028NP		latest	Complete Genome	Major	Full	2007/08/30	ASM1218v1	Columbus Children's Research Institute and The Ohio State University, Pediatrics, USA	GCA_000012185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/185/GCF_000012185.1_ASM1218v1			na	Haemophilus influenzae	NC_007146.2	Haemophilus influenzae 86-028NP, complete sequence	GCF_000012185.1_ASM1218v1_genomic.fna.gz 	GCF_000012185.1	281	2	GCF_000/GCF_000012185.1_ASM1218v1_genomic.h5	1836
Helicobacter pylori	HPAG1	Patric (diseases), Patric (diseases)	, 	357544.0	H. pylori	GCA_000013245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1	Pathogenic	GCF_000013245.1	PRJNA224116	SAMN02604311		na	357544	210	Helicobacter pylori HPAG1	strain=HPAG1		latest	Complete Genome	Major	Full	2006/06/06	ASM1324v1	Washington University (WashU)	GCA_000013245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1			na	Helicobacter pylori	NC_008086.1	Helicobacter pylori HPAG1, complete sequence	GCF_000013245.1_ASM1324v1_genomic.fna.gz 	GCF_000013245.1	23	3	GCF_000/GCF_000013245.1_ASM1324v1_genomic.h5	1508
Polaromonas sp. JS666	JS666	Patric (diseases), Patric (diseases)	, 	296591.0	Polaromonas sp. JS666	GCA_000013865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/865/GCA_000013865.1_ASM1386v1	Pathogenic	GCF_000013865.1	PRJNA224116	SAMN02598293		na	296591	296591	Polaromonas sp. JS666	strain=JS666		latest	Complete Genome	Major	Full	2006/04/10	ASM1386v1	DOE Joint Genome Institute	GCA_000013865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/865/GCF_000013865.1_ASM1386v1			na	Polaromonas sp.	NC_007948.1	Polaromonas sp. JS666, complete sequence	GCF_000013865.1_ASM1386v1_genomic.fna.gz 	GCF_000013865.1	7504	3	GCF_000/GCF_000013865.1_ASM1386v1_genomic.h5	5657
Aliarcobacter butzleri	RM4018	Patric (diseases)		367737.0	A. butzleri	GCA_000014025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1	Pathogenic	GCF_000014025.1	PRJNA224116	SAMN02604276		na	367737	28197	Aliarcobacter butzleri RM4018	strain=RM4018		latest	Complete Genome	Major	Full	2007/09/27	ASM1402v1	USDA - Agricultural Research Service, USA	GCA_000014025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1		assembly from type material	na	Aliarcobacter butzleri	NC_009850.1	Aliarcobacter butzleri RM4018, complete sequence	GCF_000014025.1_ASM1402v1_genomic.fna.gz 	GCF_000014025.1	751	4	GCF_000/GCF_000014025.1_ASM1402v1_genomic.h5	2285
Limosilactobacillus reuteri	DSM 20016	Patric (diseases)		557436.0	L. reuteri	GCA_000016825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1	Pathogenic	GCF_000016825.1	PRJNA224116	SAMN02598351		na	557436	1598	Limosilactobacillus reuteri subsp. reuteri	strain=DSM 20016		latest	Complete Genome	Major	Full	2007/06/01	ASM1682v1	US DOE Joint Genome Institute	GCA_000016825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/825/GCF_000016825.1_ASM1682v1		assembly from type material	na	Limosilactobacillus reuteri	NC_009513.1	Limosilactobacillus reuteri subsp. reuteri, complete sequence	GCF_000016825.1_ASM1682v1_genomic.fna.gz 	GCF_000016825.1	1680	2	GCF_000/GCF_000016825.1_ASM1682v1_genomic.h5	1983
Yersinia pseudotuberculosis	IP 31758//IP31758	Patric (diseases), Patric (diseases), Patric (diseases)	, , 	349747.0	Y. pseudotuberculosis	GCA_000016945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1	Pathogenic	GCF_000016945.1	PRJNA224116	SAMN02604043		na	349747	633	Yersinia pseudotuberculosis IP 31758	strain=IP 31758		latest	Complete Genome	Major	Full	2007/07/23	ASM1694v1	TIGR	GCA_000016945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/945/GCF_000016945.1_ASM1694v1			na	Yersinia pseudotuberculosis	NC_009708.1	Yersinia pseudotuberculosis IP 31758, complete sequence	GCF_000016945.1_ASM1694v1_genomic.fna.gz 	GCF_000016945.1	415	3	GCF_000/GCF_000016945.1_ASM1694v1_genomic.h5	4268
Campylobacter hominis	ATCC BAA-381	Patric (diseases), Patric (diseases)	, 	360107.0	C. hominis	GCA_000017585.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/585/GCA_000017585.1_ASM1758v1	Pathogenic	GCF_000017585.1	PRJNA224116	SAMN02603439		representative genome	360107	76517	Campylobacter hominis ATCC BAA-381	strain=ATCC BAA-381		latest	Complete Genome	Major	Full	2007/07/25	ASM1758v1	J. Craig Venter Institute	GCA_000017585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/585/GCF_000017585.1_ASM1758v1		assembly from type material	na	Campylobacter hominis	NC_009714.1	Campylobacter hominis ATCC BAA-381, complete sequence	GCF_000017585.1_ASM1758v1_genomic.fna.gz 	GCF_000017585.1	5009	2	GCF_000/GCF_000017585.1_ASM1758v1_genomic.h5	1637
